isco08_3d,alpha,beta,zeta,gamma,n_isco08_4d,n_matched_4d,match_quality,soc_vintage
731,0.0359308332992544,0.13388717446075,0.169818007760004,0.231843515622245,9,9,full,SOC-2018 bridged to SOC-2010
732,0.0159259259259259,0.165325777282299,0.181251703208225,0.314725628638672,3,3,full,SOC-2018 bridged to SOC-2010
741,0.0406306252336029,0.135894386837315,0.176525012070918,0.231158148441027,3,3,full,SOC-2018 bridged to SOC-2010
742,0.0632434232434233,0.17531530969031,0.238558732933733,0.287387196137196,2,2,full,SOC-2018 bridged to SOC-2010
751,0.0418662818662819,0.0929051865637023,0.134771468429984,0.143944091261123,6,6,full,SOC-2018 bridged to SOC-2010
752,0.0125,0.0660973285973286,0.0785973285973286,0.119694657194657,3,3,full,SOC-2018 bridged to SOC-2010
753,0.0191498316498317,0.0974416529972085,0.11659148464704,0.175733474344585,6,6,full,SOC-2018 bridged to SOC-2010
754,0.0475396825396825,0.150513888888889,0.198053571428571,0.253488095238095,5,5,full,SOC-2018 bridged to SOC-2010
811,0.008359440267335,0.0587799596845649,0.0671393999519,0.109200479101795,4,4,full,SOC-2018 bridged to SOC-2010
812,0.00625,0.0433047836666258,0.0495547836666258,0.0803595673332515,2,2,full,SOC-2018 bridged to SOC-2010
813,0.0072463768115942,0.107682272858587,0.114928649670182,0.20811816890558,2,2,full,SOC-2018 bridged to SOC-2010
814,0.0058531746031746,0.0368788841570997,0.0427320587602743,0.0679045937110248,3,3,full,SOC-2018 bridged to SOC-2010
815,0,0.06401470422852,0.06401470422852,0.12802940845704,8,6,partial,SOC-2018 bridged to SOC-2010
816,0.0311428571428571,0.0670026536930562,0.0981455108359133,0.102862450243255,1,1,full,SOC-2018 bridged to SOC-2010
817,0,0.0301136363636364,0.0301136363636364,0.0602272727272727,2,2,full,SOC-2018 bridged to SOC-2010
818,0.00628524436090226,0.0731331159432129,0.0794183603041151,0.139980987525523,4,4,full,SOC-2018 bridged to SOC-2010
821,0,0.0502762923351159,0.0502762923351159,0.100552584670232,3,3,full,SOC-2018 bridged to SOC-2010
831,0.0584719374193058,0.174623395610238,0.233095333029544,0.29077485380117,2,2,full,SOC-2018 bridged to SOC-2010
832,0.0780893448656607,0.206931709930936,0.285021054796597,0.335774074996211,2,2,full,SOC-2018 bridged to SOC-2010
833,0.0853786493642181,0.219620295626176,0.304998944990394,0.353861941888133,2,2,full,SOC-2018 bridged to SOC-2010
834,0.048116028708134,0.0994271992627256,0.14754322797086,0.150738369817317,4,4,full,SOC-2018 bridged to SOC-2010
835,0,0.0677521008403361,0.0677521008403361,0.135504201680672,1,1,full,SOC-2018 bridged to SOC-2010
911,0.0533333333333333,0.0569565217391304,0.110289855072464,0.0605797101449275,2,2,full,SOC-2018 bridged to SOC-2010
912,0.0113636363636364,0.0326263410502541,0.0439899774138905,0.0538890457368718,4,4,full,SOC-2018 bridged to SOC-2010
